rooms_num_square,type_offer,price_period,views,likes,address,apartment_complex,floors,furniture,series,building_type_year,added_ago,condition,link
"2-комн. кв., 80 м2",от собственника,3 500 сом/сутки,1724,7,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",Чынгыз Айтматов Ордосу,4 этаж из 14,полностью меблирована,элитка,"монолитный, 2022 г.",Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/5025668648af2fde010d2-69243589
"3-комн. кв., 100 м2",от собственника,5 500 сом/сутки,2004,,"Бишкек, КНУ, Жибек Жолу/Шевченко",Оомат 1,9 этаж из 9,полностью меблирована,элитка,"монолитный, 2018 г.",Добавлено 9 месяцев назад,евроремонт,https://www.house.kg/details/19144856469d396a66218-23033017
"1-комн. кв., 45 м2",от собственника,3 000 сом/сутки,3241,23,"Бишкек, Магистраль, Сухэ-Батора Токомбаева 23/3б/Токомбаева",Park Avenue,10 этаж из 12,полностью меблирована,элитка,монолитный,Добавлено 1 год назад,евроремонт,https://www.house.kg/details/7438763bbdec3e9c8e4-06563511
"1-комн. кв., 60 м2",от собственника,3 000 сом/сутки,2425,2,"Бишкек, Молодая Гвардия, Калыка Акиева 112/Фрунзе",Фрунзе,3 этаж из 12,полностью меблирована,элитка,монолитный,Добавлено 1 год назад,евроремонт,https://www.house.kg/details/634413563d956bc5f9826-65712201
"1-комн. кв., 58 м2",от собственника,3 000 сом/сутки,3926,16,"Бишкек, Советская - Скрябина, Скрябина 38б","ЖК ""Кереге""",10 этаж из 12,полностью меблирована,элитка,монолитный,Добавлено 1 год назад,евроремонт,https://www.house.kg/details/652958463c03743ebd7a2-79815810
"1-комн. кв., 45 м2",от собственника,3 500 сом/сутки,4501,1,"Бишкек, КНУ, Тимирязева/Жумабека","Жилой комплекс ""Байсал""",13 этаж из 16,полностью меблирована,элитка,"монолитный, 2022 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/1379958659008a83652a0-89070179
"1-комн. кв., 45 м2",от собственника,3 500 сом/сутки,4502,1,"Бишкек, КНУ, Тимирязева/Жумабека","Жилой комплекс ""Байсал""",13 этаж из 16,полностью меблирована,элитка,"монолитный, 2022 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/1379958659008a83652a0-89070179
"2-комн. кв., 56 м2",от агента,55 000 сом/мес.,2905,3,"Бишкек, Каралаева (Набережная)",Южный Парк,10 этаж из 12,,элитка,"монолитный, 2017 г.",Добавлено 5 дней назад,евроремонт,https://www.house.kg/details/941051365c2402d850a73-97227219
"3-комн. кв., 102 м2",от агента,130 145 сом/мес.,1269,,"Бишкек, Военторг, Исанова",Leonardo,13 этаж из 13,,элитка,"монолитный, 2017 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/2181378657ad3b7dff7a0-17001828
"2-комн. кв., 80 м2",от собственника,112 793 сом/мес.,425,,"Бишкек, ЖД вокзал, Чуйкова/Орозбекова","Жилой дом ""Гранвиль""",7 этаж из 14,полностью меблирована,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/83507226585367938b497-38317347
"2-комн. кв., 85 м2",от собственника,60 735 сом/мес.,682,1,"Бишкек, Сквер Тоголок Молдо",,9 этаж из 9,полностью меблирована,элитка,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/96483556599626115dc83-86472626
"4-комн. кв., 120 м2",от собственника,173 527 сом/мес.,272,2,"Бишкек, ЖД вокзал, Чуйкова/Орозбекова","Жилой дом ""Гранвиль""",3 этаж из 14,полностью меблирована,элитка,"монолитный, 2020 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/927514065994e65f20371-61464088
"4-комн. кв., 176.25 м2",от собственника,216 909 сом/мес.,468,1,"Бишкек, ЖД вокзал, Чуйкова/Орозбекова","Жилой дом ""Гранвиль""",6 этаж из 14,полностью меблирована,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/889619658c1dd6c96592-02360431
"2-комн. кв., 80 м2",от агента,60 735 сом/мес.,2362,,"Бишкек, 7 м-н, 7 мкрн, ул. Сухэ-Батора 49",Жетиген,4 этаж из 8,полностью меблирована,элитка,"монолитный, 2015 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/113372265782fdd899b21-44806560
"3-комн. кв., 80 м2",от агента,60 735 сом/мес.,2296,,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",Жилой квартал New York City,7 этаж из 12,,элитка,"монолитный, 2022 г.",Добавлено 25 дней назад,евроремонт,https://www.house.kg/details/797369465a7b97a6c19b8-87422998
"2-комн. кв., 75 м2",от агента,60 735 сом/мес.,2777,2,"Бишкек, КНУ, Абдымомунова/Уметалиева",Ак-Марал 2,5 этаж из 12,,элитка,"монолитный, 2021 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/8801747657c3d3dea9558-60961538
"1-комн. кв., 34 м2",от собственника,2 200 сом/сутки,6147,13,"Бишкек, Политех, Мира, Джунусалиева/Ахунбаева",,1 этаж из 3,полностью меблирована,сталинка,кирпичный,Добавлено 2 года назад,хорошее,https://www.house.kg/details/360879862cd649522ee01-76380445
"3-комн. кв., 62 м2",от агента,40 000 сом/мес.,3176,5,"Бишкек, 5 м-н, Саякбая Каралаева/Суеркулова",,4 этаж из 5,,105 серия,панельный,Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/7329924657c3c377c7c72-72990133
"3-комн. кв., 127 м2",от агента,78 087 сом/мес.,401,,"Бишкек, Ак Кеме, пр Чынгыза Айтматова 91",,9 этаж из 11,полностью меблирована,элитка,кирпичный,Добавлено 3 месяца назад,хорошее,https://www.house.kg/details/523482065545ccfec9b55-55129386
"3-комн. кв., 64 м2",от агента,45 000 сом/мес.,678,2,"Бишкек, Золотой квадрат, московская",,5 этаж из 5,,индивид. планировка,монолитный,Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/82227816566b8baa3bcf8-38352570
"1-комн. кв., 30 м2",от собственника,30 000 сом/мес.,2137,5,"Бишкек, Политех, Ш Руставели/Ахунбаева",,2 этаж из 3,полностью меблирована,хрущевка,"кирпичный, 1962 г.",Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/78999516588f92305fc81-31503712
"1-комн. кв., 36 м2",от собственника,28 000 сом/мес.,846,,"Бишкек, Политех, Ахунбаева Мира",,4 этаж из 5,полностью меблирована,индивид. планировка,"кирпичный, 1971 г.",Добавлено 13 дней назад,среднее,https://www.house.kg/details/349715265b77a0546e140-04090919
"4-комн. кв., 150 м2",от агента,121 469 сом/мес.,658,1,"Бишкек, Ак Кеме, Ч.Айтматова/А.Баатыра",,8 этаж из 10,,элитка,кирпичный,Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/3118977651fc1afba7c49-69773539
"1-комн. кв., 45 м2",от собственника,4 000 сом/сутки,10373,9,"Бишкек, Московская/Тимирязева",,4 этаж из 8,полностью меблирована,индивид. планировка,кирпичный,Добавлено 2 года назад,евроремонт,https://www.house.kg/details/6052459624df3a0265439-42672343
